Outdoor Space,H45,H46,H47,H48,H49,H50,H51,H52,H53,H54,H55,H56,H57,H58,H59,H60,H61,H62,H63
O33,3.21,7.51,24.86,24.07,2.91,9.11,15.09,12.12,17.89,17.29,22.09,24.65,31.08,27.59,40.08,34.35,47.07,31.83,33.36
O34,19.65,19.46,11.07,33.59,19.55,13.12,7.6,14.84,15.3,22.34,4.17,27.63,10.34,22.99,18.93,25.17,26.43,35.41,31.07
O35,12.09,3.35,26.54,16.22,8.25,12.08,15.56,4.12,8.06,6.75,21.23,14.25,29.25,16.85,37.72,23.92,45.31,21.96,22.56
O36,22.55,13.58,36.31,6.71,18.53,22.94,25.66,13.46,11.93,4.8,30.23,4.8,37.05,12.57,44.65,20.19,52.38,11.25,14.41
O37,23.65,15.04,32.88,13.24,19.92,22.02,23.09,12.0,7.62,5.84,26.29,5.15,32.0,5.96,38.98,13.68,46.66,12.83,10.93
O38,30.59,33.54,9.0,48.97,32.1,24.52,18.85,29.82,30.76,37.75,12.48,43.04,6.91,37.69,10.09,38.19,14.56,50.79,45.68
O39,30.17,23.36,30.98,24.76,27.31,26.07,24.22,18.09,12.37,16.85,24.11,15.82,26.51,6.91,31.4,5.25,38.72,20.8,13.27
