iteration,key,type,orientation,height,area,level,open_side,in_out,inc_rad,sun_h,wind_exp,utci,neigh_dist,usability,green_suitability,compactness,types touching,neighbours touching,bounding area ratio,cos(angle_in_radians),sin(angle_in_radians),edge count,longest edge length,activtiy
1,30,balcony,NE,3,9,1,2,outdoor,189.71,10.79,4.78,25.8,31.25,warm_sunny,suitable,16,2,2,1,0.838443616300637,0.5449883505954143,4,3,Biodiversity balcony
1,31,balcony,NE,3,9,1,2,outdoor,184.57,10.65,4.78,25.8,34.68,warm_sunny,suitable,16,1,1,1,0.8944271903537095,0.4472135967923706,4,3,Biodiversity balcony
1,32,balcony,N,3,9,1,1,outdoor,21.42,0.58,3.71,24.8,11.82,comfortable,not_suitable,16,2,2,1,0.9529257795159616,0.3032036588398909,4,3,Residents Space
2,33,courtyard,NE,3,153,2,2,outdoor,3373.0599999999995,9.68,4.78,24.3,41.63,cool_breezy,suitable,76.23529411764706,1,1,0.21,-0.8824871328945135,0.4703365393796458,6,30,Urban Agriculture Garden
2,34,courtyard,NW,3,171,2,2,outdoor,4635.109999999999,3.73,3.3,25.5,86.01,warm_sunny,suitable,68.21052631578948,4,8,0.79,0.7020741789990629,0.7121038176999136,22,36,"Offline Retreat,  Sunbath,  Healing Garden,  Playground,  Sports,  Outdoor Cinema/Event Space,  Community Pool/BBQ,  Flexible Space,  Outdoor Meeting Space,  Green balcony"
2,35,balcony,SW,3,9,2,2,indoor,0,0,4.65,24.3,0,cool_breezy,not_suitable,16,2,2,1,-0.9922778773202766,0.12403472973633682,4,3,Residents Space
2,36,terrace,S,3,18,2,1,indoor,0,0,3.34,24.3,0,comfortable,not_suitable,18,1,2,1,-0.7808688109566371,0.6246950456624157,4,6,Flexible Space
2,37,terrace,NE,3,27,2,2,outdoor,149.89999999999998,2.41,4.78,25.1,4.24,cool_breezy,suitable,21.333333333333332,1,3,0.75,-0.5390536982468694,0.8422713994944699,6,6,Urban Agriculture Garden
2,38,terrace,N,3,36,2,1,outdoor,741.9,10.9,3.71,26.1,6,warm_sunny,suitable,25,1,1,1,0.7071067811865475,0.7071067811865476,4,12,"Playground,  Flexible Space"
2,39,terrace,NE,3,36,2,2,outdoor,627.3599999999999,8.15,4.78,26,25.46,warm_sunny,suitable,25,1,2,0.67,0.2544933002751905,0.9670745370006604,6,9,Urban Agriculture Garden
3,40,courtyard,NE,3,126,3,2,outdoor,2800.66,10.12,4.78,24.6,8.08,cool_breezy,suitable,64.28571428571429,1,1,0.25,-0.6507913804534146,0.7592565963674857,6,24,Urban Agriculture Garden
3,41,courtyard,NW,3,90,3,2,outdoor,532.1899999999998,2.6,3.3,25.2,72.56,comfortable,suitable,48.4,1,6,0.71,0.5812381882571269,0.8137334751081418,16,18,"Offline Retreat,  Sunbath,  Healing Garden,  Playground,  Sports,  Outdoor Cinema/Event Space,  Community Pool/BBQ,  Flexible Space,  Outdoor Meeting Space,  Green balcony"
3,42,terrace,SW,3,18,3,2,indoor,0,0,4.65,24.3,0,cool_breezy,not_suitable,18,1,2,1,-0.9701425024129791,0.2425356159657443,4,6,Residents Space
3,43,terrace,SE,3,18,3,2,outdoor,19.54,0,3.22,25.1,0,comfortable,not_suitable,18,2,2,1,-0.5547001979207523,0.8320502932074949,4,6,"Offline Retreat,  Sunbath,  Healing Garden,  Sports,  Outdoor Cinema/Event Space,  Flexible Space,  Outdoor Meeting Space,  Urban Agriculture Garden,  Viewpoint"
3,44,balcony,NW,3,9,3,2,outdoor,101.33,5.27,3.3,26.6,52.86,warm_sunny,suitable,16,1,1,1,-0.24253562617015623,0.9701424998618761,4,3,"Residents Space,  Offline Retreat,  Sunbath,  Biodiversity balcony,  Viewpoint"
3,45,balcony,NW,3,9,3,2,outdoor,67.4,2.29,3.3,26.6,82.55,warm_sunny,suitable,16,2,2,1,0.8574929242092926,0.5144957579329459,4,3,"Residents Space,  Offline Retreat,  Sunbath,  Biodiversity balcony,  Viewpoint"
4,46,courtyard,NE,3,72,4,2,outdoor,1672.02,10.76,4.78,24.3,4.94,cool_breezy,suitable,40.5,1,1,0.4,-0.7071067872075257,0.7071067751655693,6,15,Urban Agriculture Garden
4,47,terrace,NW,3,27,4,2,outdoor,59.01,0.56,3.3,25.1,17.31,comfortable,not_suitable,21.333333333333332,1,3,0.75,0.624695056636065,0.7808688021777177,6,6,"Offline Retreat,  Sunbath,  Healing Garden,  Playground,  Sports,  Outdoor Cinema/Event Space,  Community Pool/BBQ,  Flexible Space,  Outdoor Meeting Space,  Viewpoint"
4,48,balcony,N,3,9,4,1,outdoor,13.42,0,3.71,25.1,19.49,comfortable,not_suitable,16,1,2,1,6.123233995736766E-17,1,4,3,Residents Space
4,49,balcony,NW,3,9,4,2,outdoor,67.4,2.77,3.3,26.6,11.45,warm_sunny,suitable,16,2,2,1,0.9863939227727985,0.16439899366142874,4,3,"Residents Space,  Offline Retreat,  Sunbath,  Biodiversity balcony,  Viewpoint"
